Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,141,6,Some Random Commen with Id 0
1,0,1,164,4,Some Random Commen with Id 1
2,0,1,151,4,Some Random Commen with Id 2
3,0,1,73,1,Some Random Commen with Id 3
4,0,1,156,0,Some Random Commen with Id 4
5,0,1,43,0,Some Random Commen with Id 5
6,0,1,179,9,Some Random Commen with Id 6
7,1,7,172,6,Some Random Commen with Id 7
8,1,7,139,5,Some Random Commen with Id 8
9,1,7,85,3,Some Random Commen with Id 9
10,1,7,145,1,Some Random Commen with Id 10
11,1,7,76,6,Some Random Commen with Id 11
12,1,7,121,1,Some Random Commen with Id 12
13,1,7,95,6,Some Random Commen with Id 13
14,1,7,40,6,Some Random Commen with Id 14
15,1,7,159,7,Some Random Commen with Id 15
16,2,6,131,0,Some Random Commen with Id 16
17,2,6,191,2,Some Random Commen with Id 17
18,2,6,105,3,Some Random Commen with Id 18
19,2,6,8,8,Some Random Commen with Id 19
20,2,6,159,5,Some Random Commen with Id 20
21,2,6,43,2,Some Random Commen with Id 21
22,2,6,32,0,Some Random Commen with Id 22
23,2,6,143,9,Some Random Commen with Id 23
24,3,2,104,0,Some Random Commen with Id 24
25,3,2,156,8,Some Random Commen with Id 25
26,3,2,35,7,Some Random Commen with Id 26
27,3,2,124,2,Some Random Commen with Id 27
28,3,2,95,4,Some Random Commen with Id 28
29,3,2,14,3,Some Random Commen with Id 29
30,4,4,145,1,Some Random Commen with Id 30
31,4,4,136,7,Some Random Commen with Id 31
32,4,4,148,9,Some Random Commen with Id 32
33,4,4,152,4,Some Random Commen with Id 33
34,4,4,14,5,Some Random Commen with Id 34
35,4,4,144,9,Some Random Commen with Id 35
36,4,4,59,3,Some Random Commen with Id 36
37,4,4,8,9,Some Random Commen with Id 37
38,4,4,194,2,Some Random Commen with Id 38
39,5,6,59,6,Some Random Commen with Id 39
40,5,6,59,1,Some Random Commen with Id 40
41,6,6,107,0,Some Random Commen with Id 41
42,6,6,183,3,Some Random Commen with Id 42
43,6,6,58,5,Some Random Commen with Id 43
44,6,6,93,2,Some Random Commen with Id 44
45,7,8,73,4,Some Random Commen with Id 45
46,7,8,88,8,Some Random Commen with Id 46
47,7,8,68,1,Some Random Commen with Id 47
48,7,8,77,1,Some Random Commen with Id 48
49,7,8,42,7,Some Random Commen with Id 49
50,7,8,170,9,Some Random Commen with Id 50
51,7,8,10,3,Some Random Commen with Id 51
52,7,8,193,4,Some Random Commen with Id 52
53,9,0,33,0,Some Random Commen with Id 53
54,10,4,188,1,Some Random Commen with Id 54
55,12,1,51,2,Some Random Commen with Id 55
56,12,1,5,4,Some Random Commen with Id 56
57,12,1,44,3,Some Random Commen with Id 57
58,12,1,53,9,Some Random Commen with Id 58
59,12,1,87,6,Some Random Commen with Id 59
60,12,1,143,5,Some Random Commen with Id 60
61,12,1,80,5,Some Random Commen with Id 61
62,13,6,27,6,Some Random Commen with Id 62
63,14,9,131,3,Some Random Commen with Id 63
64,14,9,8,1,Some Random Commen with Id 64
65,14,9,183,0,Some Random Commen with Id 65
66,14,9,163,8,Some Random Commen with Id 66
67,16,6,93,8,Some Random Commen with Id 67
68,16,6,67,8,Some Random Commen with Id 68
69,16,6,87,2,Some Random Commen with Id 69
70,16,6,4,0,Some Random Commen with Id 70
71,16,6,153,9,Some Random Commen with Id 71
72,16,6,192,6,Some Random Commen with Id 72
73,16,6,70,3,Some Random Commen with Id 73
74,16,6,178,9,Some Random Commen with Id 74
75,16,6,174,7,Some Random Commen with Id 75
76,18,6,89,5,Some Random Commen with Id 76
77,18,6,71,0,Some Random Commen with Id 77
78,18,6,87,9,Some Random Commen with Id 78
79,18,6,8,2,Some Random Commen with Id 79
80,18,6,147,2,Some Random Commen with Id 80
81,18,6,67,1,Some Random Commen with Id 81
82,18,6,103,1,Some Random Commen with Id 82
83,18,6,126,0,Some Random Commen with Id 83
84,18,6,190,6,Some Random Commen with Id 84
85,19,6,65,6,Some Random Commen with Id 85
86,19,6,57,8,Some Random Commen with Id 86
87,19,6,162,7,Some Random Commen with Id 87
88,19,6,167,1,Some Random Commen with Id 88
89,19,6,37,8,Some Random Commen with Id 89
90,19,6,33,1,Some Random Commen with Id 90
91,20,0,180,6,Some Random Commen with Id 91
92,20,0,5,3,Some Random Commen with Id 92
93,20,0,167,3,Some Random Commen with Id 93
94,20,0,86,0,Some Random Commen with Id 94
95,20,0,135,0,Some Random Commen with Id 95
96,20,0,125,9,Some Random Commen with Id 96
97,21,4,15,1,Some Random Commen with Id 97
98,21,4,100,7,Some Random Commen with Id 98
99,21,4,188,6,Some Random Commen with Id 99
100,21,4,5,4,Some Random Commen with Id 100
101,21,4,33,5,Some Random Commen with Id 101
102,21,4,72,4,Some Random Commen with Id 102
103,21,4,10,2,Some Random Commen with Id 103
104,21,4,169,4,Some Random Commen with Id 104
105,23,1,144,3,Some Random Commen with Id 105
106,23,1,168,7,Some Random Commen with Id 106
107,23,1,67,7,Some Random Commen with Id 107
108,23,1,158,6,Some Random Commen with Id 108
109,23,1,2,5,Some Random Commen with Id 109
110,24,1,99,4,Some Random Commen with Id 110
111,24,1,117,9,Some Random Commen with Id 111
112,24,1,199,7,Some Random Commen with Id 112
113,24,1,197,1,Some Random Commen with Id 113
114,24,1,52,7,Some Random Commen with Id 114
115,24,1,78,2,Some Random Commen with Id 115
116,25,5,166,4,Some Random Commen with Id 116
117,25,5,102,0,Some Random Commen with Id 117
118,25,5,24,9,Some Random Commen with Id 118
119,25,5,28,5,Some Random Commen with Id 119
120,25,5,160,2,Some Random Commen with Id 120
121,25,5,69,7,Some Random Commen with Id 121
122,25,5,164,5,Some Random Commen with Id 122
123,25,5,113,4,Some Random Commen with Id 123
124,26,3,110,5,Some Random Commen with Id 124
125,27,3,5,3,Some Random Commen with Id 125
126,27,3,102,9,Some Random Commen with Id 126
127,27,3,119,8,Some Random Commen with Id 127
128,27,3,53,1,Some Random Commen with Id 128
129,27,3,105,1,Some Random Commen with Id 129
130,28,8,42,5,Some Random Commen with Id 130
131,28,8,103,3,Some Random Commen with Id 131
132,28,8,197,4,Some Random Commen with Id 132
133,28,8,83,2,Some Random Commen with Id 133
134,28,8,113,5,Some Random Commen with Id 134
135,28,8,46,0,Some Random Commen with Id 135
136,28,8,142,3,Some Random Commen with Id 136
137,29,5,147,0,Some Random Commen with Id 137
138,29,5,173,1,Some Random Commen with Id 138
139,29,5,123,1,Some Random Commen with Id 139
140,29,5,67,6,Some Random Commen with Id 140
141,29,5,38,8,Some Random Commen with Id 141
142,31,9,152,9,Some Random Commen with Id 142
143,31,9,146,0,Some Random Commen with Id 143
144,32,6,15,6,Some Random Commen with Id 144
145,32,6,52,4,Some Random Commen with Id 145
146,32,6,180,8,Some Random Commen with Id 146
147,32,6,126,2,Some Random Commen with Id 147
148,32,6,142,9,Some Random Commen with Id 148
149,32,6,152,8,Some Random Commen with Id 149
150,32,6,39,2,Some Random Commen with Id 150
151,32,6,98,5,Some Random Commen with Id 151
152,34,1,116,1,Some Random Commen with Id 152
153,35,9,161,8,Some Random Commen with Id 153
154,35,9,198,6,Some Random Commen with Id 154
155,35,9,59,1,Some Random Commen with Id 155
156,35,9,4,1,Some Random Commen with Id 156
157,35,9,127,2,Some Random Commen with Id 157
158,37,5,1,1,Some Random Commen with Id 158
159,37,5,28,2,Some Random Commen with Id 159
160,37,5,151,7,Some Random Commen with Id 160
161,37,5,198,9,Some Random Commen with Id 161
162,38,4,140,2,Some Random Commen with Id 162
